name,simplified_color
Rosewood,Brown
Argus Brown Metallic,Brown
Rosewood Metallic/Dark Cocoa A,Brown
Copper,Brown
Bronze All,Brown
Bwnstone Metallic,Brown
Br,Brown
Java,Brown
Dark Choco,Brown
Carbon Bronze Pearl,Brown
Gwt Silver,Gold
Chardonnay Pearly Metallic,Gold
Silver Ice,Gold
Champagne Silver Metallic,Gold
Sahara Sand Metallic,Gold
Beige,Gold
Silver Ice Metallic,Gold
Gold,Gold
Mystic Gold Metallic,Gold
Champagne Silver,Gold
Chardonnay Pearl Metallic,Gold
NULL,Gold
Silver,Gold
Champagne,Gold
Gwt Champagne Silver Metallic,Gold
Tan,Gold
Alpine Green Clearcoat,Gold
Brownstone Metallic,Gold
NULL,Gray
Gray,Gray
Nightfall Gray Metallic,Gray
Platinum Gray Metallic,Gray
Tungsten Metallic,Gray
Moonstone Metallic,Gray
Gray Metallic,Gray
Graphite Gray Metallic,Gray
Dark Granite Metallic,Gray
Gjb Mineral,Gray
Iridium Metallic,Gray
Dark Side Metallic,Gray
Silver,Gray
Smokestone Metallic,Gray
Phantom Gray,Gray
Gun Metallic,Gray
Pepperdust Metallic,Gray
Phantom Gray Metallic,Gray
Black,Gray
Silver Gray Metallic,Gray
Slate Gray Metallic,Gray
Grey,Gray
Smoked Pearl,Gray
Mineralmetal,Gray
Watkins Glen Gray Metallic,Gray
Nightfll Gray,Gray
Graphite Metallic,Gray
Cyber Gray Metallic,Gray
Nebula Gray Pearl,Gray
Metallic Slate,Gray
Gpa Dark Slate Metallic,Gray
Nightfall Gy Mt,Gray
Smoked Quartz Metallic Tinted,Gray
Gxg Iridium Metallic,Gray
Ashen_Gray_Metalli,Gray
Smoke Metallic,Gray
Watkins Glen Gray,Gray
Monsoon Gray,Gray
Mineral Gray,Gray
Monsoon Gray Mt,Gray
Platinum Graphite Metallic,Gray
Platinum Graphite,Gray
Graystone Metallic,Gray
White,Gray
Heather Gray Metallic,Gray
G7q Graphite Gray Metallic,Gray
Ntfall Gray,Gray
Smoky Gray,Gray
Dark Slate Metallic,Gray
Blue Slate,Gray
Florett Silver Metallic,Gray
Daytona Gray Pearl Effect,Gray
Graphite,Gray
Tungsten Pearl,Gray
Dark Granite,Gray
Monsoon Gray Metallic,Gray
Ocean Gray Metallic,Gray
Gk2 Graphite Gray Metallic,Gray
Ashen Gray Metallic,Gray
Magnetic Metallic,Gray
Dk/Gy,Gray
Smoked Pearl Metallic,Gray
Tornado Gray Metallic,Gray
G7q Nightfall Gray Metallic,Gray
Nightfall Gray,Gray
Graphite Gray,Gray
Nightfall Gray,Gray
G7q Gray,Gray
Nighthawk Black Pearl,Gray
Blade Silver Metallic,Gray
Graph Met,Gray
Dark,Gray
Night Armor,Gray
Tungsten,Gray
Nebula Gr,Gray
Stornoway Grey Metallic,Gray
Darkslate,Gray
Dark Slate,Gray
Gxg Tungsten,Gray
Liquid Platinum Metallic,Gray
Light Steel Gray Metallic,Gray
Mineral Metallic,Gray
Lava,Gray
Graphitegray,Gray
Light Steel Gray,Gray
Graphite Metal Jet Black,Gray
Metallic,Gray
Smoke,Gray
Sophisto Gray Metallic W Froze,Gray
Charcoal,Gray
Titanium,Gray
Space Gray,Gray
Gry,Gray
Green,Gray
Quartz Gray Metallic,Gray
Phantom,Gray
Shark Gray Metallic,Gray
Pearl Metallic,Gray
Smoke Quartz Tinted Metallic,Gray
Glj Graphite Metallic,Gray
Iridium Metallic - Gray,Gray
Dark Gray,Gray
Granite Metallic,Gray
United Gray,Gray
Graphite Luster Metallic,Gray
Smoky Gray Metallic,Gray
Agate Grey,Gray
Precision Grey Metallic,Gray
Toasted Coconut Metallic,Gray
Flint Mica,Gray
Savanna Beige Pearl,Gray
Meteor Grey Metallic,Gray
Mosaic Black Metallic,Gray
G7q/Gray,Gray
Watkins Gln Gray,Gray
Gpa Graphite,Gray
Dark Graphite Metallic,Gray
Orkney Grey Metallic,Gray
Gk2,Gray
Gxg Dark Granite Metallic,Gray
Gxg/,Gray
Monsoon Black,Gray
Sterling Gray,Gray
Watkins Glen Gray Metalli,Gray
Black Sapphire Metallic,Gray
Mineral Grey Metallic,Gray
Gotham Gray,Gray
G7q Graphite Green,Gray
Space Gray Metallic,Gray
Blue,Gray
Ocean Gray,Gray
Nightfall,Gray
Gray**Warranty**,Gray
Mineral Gray Metallic,Gray
Singapore Gray Metallic,Gray
Magnetic,Gray
G7q/H1t Gray,Gray
Cyber Gray,Gray
Tungsten Metallic - Gray,Gray
Charcoal Grey,Gray
Nightfall Gray Metallic - Gray,Gray
Magnetic Gray,Gray
G7q Phantom Gray Metallic,Gray
Iridium,Gray
Quicksilver Metallic,Gray
Magnetic Gray Metallic,Gray
Gxg,Gray
Ibis White,Gray
Mineral,Gray
Cyber Gry Met,Gray
Platinum Gray Metallic/Black R,Gray
Gbv Cyber Gray Metallic,Gray
G7q Graphite Gray,Gray
Manhattan Gray Metallic,Gray
Grphte,Gray
Slate Green Metallic,Gray
Tan,Gray
Agate Gray Metallic,Gray
Carbon Gray Metallic,Gray
Sparkling Graphite Metallic,Gray
Heather Gray,Gray
Gun Metallic - Gray,Gray
Orkney Grey,Gray
Sterling Gray Metallic,Gray
Watkins Glen,Gray
Mineral Mettalic,Gray
Modern Steel Metallic,Gray
Super Black,Gray
Moonstone Met,Gray
Gray(Great Commuter),Gray
Sage Brush Pearl,Gray
Amethyst Gray,Gray
Polished Metal,Gray
Darl Slate,Gray
Smoked Quartz,Gray
Moonstone,Gray
Watkins Gray,Gray
Slate Grey Metallic,Gray
Silver Ice Metallic,Gray
Dark Slate Met,Gray
Ultra Silver Metallic,Gray
Storm Gray,Gray
G7q Watkins Glen Gray Metall,Gray
Oolong Gray Metallic,Gray
Carbide Gray Metallic,Gray
Phantomgray,Gray
Light Ice Blue Metallic,Gray
Graphite Metall,Gray
Granite,Gray
Atlas Gray Metallic,Gray
Phanton Gray,Gray
Gpa Graphite Metallic,Gray
Red,Gray
Desert Stone Metallic,Gray
Silver Pearl Metallic,Gray
Gbv Gray,Gray
Crystal Black Pearl,Gray
Daytona Gray,Gray
Nightfall Gray Metallic - (Gra,Gray
Iridium Met,Gray
G7q,Gray
Metallic Bronze,Gray
Not Specified,Gray
Gxg Tungsten Metallic,Gray
Lakeshore Slate,Gray
Drk Slate Metl,Gray
Graphite Gray M,Gray
Dark Graphite,Gray
Graphite Gry Met,Gray
Lotus Gray Metallic,Gray
G7q Nightfall,Gray
Phantom Gry Met,Gray
Gk2 Gray,Gray
Graphite Metal,Gray
Dk Gray,Gray
Cyber Gray Meta,Gray
Smoky Granite Mica,Gray
Smoky Topaz Metallic,Gray
Arctic Blue Metallic,Gray
Watkins,Gray
Gpa/,Gray
Gpa Dark Slate Metal,Gray
Graph Gry Met,Gray
Slate,Gray
Dk Brown,Gray
Brown,Gray
Mineral Metallic - Gray,Gray
Emerald Graphite,Gray
Gray Dark,Gray
Ebony Twilight Metallic,Gray
Gy,Gray
Ebony Twilight Metallic - Blac,Gray
Brimstone,Green
Green,Green
Midnight Jade,Green
Polished Metal Metallic,Green
Dark/Emerald,Green
Peacock Green,Green
Yellow,Green
Dark Emerald Metallic,Green
Black,Green
Green Envy,Green
Mint,Green
Magnetic Black,Green
Gc8 Dark Emerald Metallic,Green
Dark Forest Green Metallic,Green
Dk Emerald Met,Green
Rainforest Green Metallic,Green
NULL,Green
Woodland Green,Green
Non-Metallic Paint To Sample,Green
Krypton Green,Green
Citron Green Metallic,Green
R Peacock Green,Green
Dark Green,Green
Dark_Forest_Green,Green
Gold,Green
Dragon Green Metallic,Green
Dark Emerald,Green
Metallic Green,Green
Black Cherry Metallic,Maroon
Black Cherry,Maroon
Merlot,Maroon
NULL,Maroon
Ruby Red,Maroon
Gj6 Black Cherry Metallic,Maroon
Red,Maroon
Maroon,Maroon
Burgundy,Maroon
Winterberry Red Metallic,Maroon
Blk Cherry,Maroon
Merlot Pearl,Maroon
Black Cherry Metallic - Maroon,Maroon
Dkred Bl Cherry,Maroon
Mr,Maroon
Gga Black Cherry Metallic,Maroon
Black Clearcoat,null
Granite Crystal Metallic Clear,null
Deep Cherry Red Crystal Pearlc,null
Velvet Red Pearlcoat,null
Billet Silver Metallic Clearco,null
Bright White Clearcoat,null
Maximum Steel Metallic Clearco,null
Black,null
Tuxedo Black,null
Oxford White,null
White Platinum Metallic Tri-Co,null
White,null
Silver,null
Super Black,null
Bright White,null
Tungsten Metallic Clearcoat,null
Velvet Red Pearl Coat,null
White Platinum Met Tri-Coat,null
Blue Velvet Metallic,null
Orange,null
Crystal Red Metallic Tintcoat,null
Lunar Blue Metallic,null
NULL,null
Blue Crush Metallic - Blue,null
Brown,null
Black Sand Pearl,null
Black Obsidian,null
Blue Crush Metallic,null
Alpine White,null
Black Sapphire Metallic,null
Mineral White Metallic,null
Glacier Silver Metallic,null
Blue,null
Ice White,null
Aegean Blue Metallic,null
Billet Silver Metallic Cl,null
Rhino,null
Octane Red Pearlcoat,null
Tuxedo Black Metallic,null
Shadow Black,null
Grey,null
Red,null
Black Raven,null
Maroon,null
Midnight Garnet Metallic,null
Gun Metallic,null
Go Mango,null
White Platinum Metallic,null
Gray,null
Taffeta White,null
Brilliant Black Crystal Pearlc,null
Green,null
Alabaster Silver Metallic,null
Modern Steel Metallic,null
Pyrite Mica,null
Neptune,null
Cavansite Blue,null
True Red,null
Clear White,null
Glacier White,null
Ibis White,null
Polar White,null
Cirrus White,null
Electric Blue Metallic,null
True Blue Metallic,null
Agate Gray Metallic,null
Mojave Sand,null
Polished Metal Metallic,null
Bright Silver Metallic Clearco,null
Shadow Black - Black,null
Blue Jeans Metallic,null
Black Raven - Black,null
Beige,null
Reflex Silver,null
Stone White Clear Coat,null
Crystal Black Pearl,null
Rallye Red,null
Copper Sunset Pearl,null
Machine Gray Metallic,null
Sand Beige Metallic,null
Arctic Blue Metallic,null
Predawn Gray Mica,null
Silver Sky Metallic,null
Snow White Pearl,null
Dark Gray Metallic,null
Crystal White Pearl Mica,null
Classic Silver Metallic,null
White/Brick,null
Super White,null
Monaco White,null
Bright Silver,null
Frozen White,null
Stratus White,null
Night Black,null
Savana Beige Pearl,null
Phantom Black Pearl,null
Deep Black Pearl,null
Bianco Gelato (White Clear Coa,null
Bright Silver Metallic,null
Brilliant Black Crystal Pearl,null
Vice White Tri-Coat Pearl,null
Grabber Blue,null
Velocity Yellow Tintcoat,null
Onyx Black,null
White Orchid Pearl,null
Gray Clearcoat,null
Twilight Blue Metallic,null
Ingot Silver Metallic,null
Summit White,null
Stargazer Black,null
Bianco (White),null
Silver Birch Clearcoat Metalli,null
Blizzard Pearl,null
Parisian Night Pearl,null
Burgundy,null
Magnetic Gray Metallic,null
Fathom Blue Pearl,null
Hagane Blue,null
Satin Metal,null
Soul Red,null
Moonlight White,null
Solar Yellow,null
Gotham Gray Metallic,null
Obsidian,null
0212/Obsidian,null
Manhattan Brown,null
Parabolica Blue,null
Deep Sea Blue Pearl,null
Orion Silver Metallic,null
Tectite Gray Metalli,null
Nero,null
Billet Silver Metallic,null
Black Forest Green Pearl Coat,null
Holland Blue,null
Vermillion Red,null
Torch Red,null
Imperial Blue Metallic,null
White Diamond Tricoat,null
Ebony Clearcoat,null
Pitch Black Clearcoat,null
White Platinum,null
Argento,null
Deep Blue Pearl,null
Toffee Brown Metallic,null
Carbide Gray Metallic,null
White Diamond Pearl,null
Black Velvet Metallic,null
Smoked Quartz Metallic Tinted,null
Tan,null
Remington Red Metallic,null
Venetian Red Pearl,null
White - Super White,null
Eminent White Pearl,null
Splash,null
Lunar Gray,null
Corris Grey,null
Carbon Black Metallic,null
Singapore Gray Metallic,null
Mars Red,null
Campanella White,null
Candy White,null
Blu Oceano (Blue),null
Granite Crystal,null
Magnetic Metallic,null
Mocha Steel Metallic,null
Pearl White,null
Flame Red Clearcoat/Bright Sil,null
Gray Flannel Metallic,null
Platinum Gray Metallic,null
Ice Silver Metallic,null
Graphite Blue,null
Sandlewood,null
Phantom Black,null
Graphite Luster Metallic,null
Eternal Blue Pearl,null
Meteor Gray Mica,null
Solid Red,null
Circuit Silver,null
Caspian Black,null
Aurora Black,null
Tornado Gray Metallic,null
Jet Black,null
Mineral Grey Metallic,null
Arctic White,null
Carbon Gray Metallic,null
Speed Yellow,null
Prv Velvet Red,null
Ingot Silver,null
Kodiak Brown Metallic,null
Red With Dark Shadow Gray Meta,null
Silver Ice Metallic,null
Silver Birch Metallic,null
Desert Sand Pearl,null
Crimson Red Tintcoat,null
"Red,Barcelona",null
Bianco Perla (Pearl White Tri-,null
Sterling Gray Metallic,null
Cosmic Gray Mica,null
Birch White,null
Attitude Black,null
Diamond Silver Metallic,null
Polaris White,null
Oxford Blue,null
Brilliant Black,null
Granite Grey Metallic,null
Canyon Gray Metallic,null
Red Clearcoat,null
Deep Cherry Red Crystal Pearl,null
Brilliant Silver Metallic,null
Victory Red,null
Gold,null
Red Candy Metallic Tinted Clea,null
Marlin Blue,null
Wicked White,null
Regal Red,null
Graphite Shadow,null
Glacier White Metallic,null
Liquid Blue Metallic,null
Designo Magno Night Black,null
Black Metallic,null
Blu Passione Mica,null
Lightning Blue,null
White Gold,null
Dark Green,null
Quicksilver Metallic,null
Cashmere/Sandstone Pearlcoat,null
Nebula Gray Pearl,null
Smokestone,null
Sparkling Silver,null
Platinum Silver Meta,null
Pure Red,null
Montego Blue Mica,null
Majestic White,null
Black Diamond,null
Magma,null
Liquid Platinum,null
Casablanca White,null
Black Cherry,null
Onyx Black Metallic,null
Santorini Black Metallic,null
Dark Blue,null
Titanium Silver Metallic,null
Moonlight Blue Pearl,null
Omaha Orange,null
Mojave,null
Billet Metallic Clearcoat,null
Torch Red Clearcoat,null
Dark Blue Pearl Metallic,null
Navy Blue Metallic,null
Ebony Twilight Metallic,null
Cayenne Red,null
Tungsten Metallic,null
Barcelona Red Metallic,null
Magma Red,null
Silver Lining Metallic,null
Shadow Blk,null
Buckingham Blue,null
Quartz Gray Metallic,null
Monsoon Gray Metallic/Black Ro,null
Bellanova White Pearl,null
Burgundy Night Pearl,null
Flame Red Clearcoat,null
Race Red,null
Brilliant Silver,null
Ginger Ale Metallic,null
Vibrant White,null
Light Pewter Metallic,null
Refx Silvr,null
Sizzling Crimson Mica,null
Basque Red Pearl Ii,null
Crystal White Pearl,null
Soul Red Metallic,null
Sandrock Beige Metallic,null
Smokey Blue,null
Hyper Red,null
Diamond Black,null
Black Stone,null
Slate Silver Metallic,null
Crystal Red Tintcoat,null
Dark Gray Metallic - Gray,null
Reflex Silver Metallic,null
Redline Red Tricoat Pearl,null
Midnight Black,null
Charcoal,null
Celestial Silver Metallic,null
Snowflake White Pearl Mica,null
Prl White,null
Stornoway Gray,null
Mineral Gray Metallic,null
Space Gray Metallic,null
Black Clear Coat,null
Purple,null
Inferno Red Crystal Pearlcoat,null
Starfire Pearl,null
Lunar Silver Metallic,null
Silver Moon,null
Blue Metallic,null
White Pearl,null
Labrador Black Pearl,null
Moro Blue Pearl Effect/Blue Ro,null
Graphite,null
Iridium Silver Metallic,null
Midnight Black Metallic,null
Black Granite Metallic,null
Molten Silver,null
Moca Java Pearl,null
Kona Coffee Metallic,null
Electric Storm Blue,null
White Frost Tricoat,null
Obsidian Blue Pearl,null
Desert Sand Mica,null
Panther Black Metallic,null
Diamond White Pearl,null
Shadow Blue Metallic,null
Satin Silver Metalli,null
Selenite Gray Metallic,null
Titanium Metallic,null
Mineral Gray,null
Sea Glass Pearl,null
Caviar,null
Black Onyx Pearl,null
Ammonite Gray Metallic,null
Mythos Black Metallic,null
Imola Yellow,null
Palladium Silver Metallic,null
Caspian Blue Metallic,null
Walnut Brown,null
3rd Row-Camera-Ecoboost-,null
Dark Cherry Pearl,null
Rain Forest Green,null
Crytsal Black,null
Nautical Blue,null
Scotia Grey Metallic,null
Anthracite Metallic,null
Deep Sea Blue Metallic,null
Crystal White Pearl Metallic W,null
Diamond Black Crystal Pearlcoa,null
Billet Silver,null
Guard,null
Mosaic Black,null
Black Diamond Tricoat,null
Brilliant Black Pearl,null
Granite Pearlcoat,null
04x0/Inferno,null
Quartz Blue Pearl,null
Jet Black Mica,null
Black Onyx,null
Lightning Blue Metallic,null
Wh,null
White Suede,null
Blade Silver Metallic,null
Yellow,null
Night Blue Metallic,null
Torred Clearcoat,null
Ashen Gray Metallic,null
Neptune Blue Mica,null
Blue Streak Metallic,null
Scarlet Red/Gray,null
Mineral Silver,null
Canyon Copper,null
Chrome,null
Florett Silver Metallic,null
Phantom Black Pearl Effect,null
Anvil Clear Coat,null
Iridium Metallic,null
Dk Candy Apple Red Metallic,null
Crystal Blue,null
Midnight Blue Metallic,null
Silver Sky,null
Red/Red,null
Meteor Gray,null
Deep Crystal Blue Mica,null
Celestial Blue Pearl Metallic,null
Diamond Black Crystal Pearl-Co,null
Bronze,null
White Platinum Met Tri-Co,null
Aluminum,null
Dark Slate Metallic,null
Phantom Gray,null
Burgundy Velvet Metallic Tinte,null
Modern Ste,null
Celestial Silve,null
Pure White With Tan Top,null
Ink Blue Metallic,null
Magnetic,null
Crystal Metallic,null
